Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
39 years,670,864,1182,2386,3758,1572,6598,2363,3951,927,1960,54227,1500,2887,1058,1067,330,2153,483,1395,1328,2406,695,832,652,682,3478,1624,1218,1010,1538,1648
4 years,496,698,1003,1495,3080,1392,3749,1772,2948,553,1695,41003,1146,2178,822,813,300,1644,372,1154,1062,2017,582,671,555,546,2580,1381,926,805,1294,1264
40 years,654,842,1270,2419,3868,1628,6513,2430,4069,929,2063,55629,1567,2910,1057,1040,344,2196,536,1526,1379,2476,663,931,696,686,3598,1682,1250,1002,1679,1717
41 years,682,888,1322,2374,3994,1658,6559,2492,4162,919,2122,56731,1595,2966,1113,1086,360,2230,518,1540,1379,2545,714,878,733,703,3601,1720,1332,1040,1742,1756
42 years,696,853,1352,2290,4077,1674,6216,2460,4233,943,2103,56654,1671,2940,1076,1090,358,2192,548,1548,1347,2599,650,888,719,726,3618,1720,1396,1026,1806,1829
43 years,633,828,1254,2191,3939,1618,5900,2318,4008,844,2018,53788,1591,2823,1074,973,350,2101,496,1397,1279,2515,656,824,671,692,3516,1656,1322,974,1630,1686
44 years,604,810,1247,2068,3778,1617,5580,2164,3788,808,2018,51546,1566,2658,1064,978,345,2036,449,1406,1274,2409,625,826,654,654,3082,1588,1293,929,1543,1676
45 years,630,750,1250,2052,3812,1618,5276,2034,3766,810,2025,50810,1509,2644,1034,948,337,2039,504,1354,1251,2349,646,812,634,666,3002,1628,1279,918,1614,1611
46 years,632,768,1301,2023,3749,1618,5136,2101,3634,806,1972,50277,1515,2630,1080,917,326,2015,444,1411,1300,2396,623,827,666,650,2964,1564,1199,870,1526,1605
47 years,580,772,1196,1979,3767,1548,4938,2091,3656,760,1930,49682,1530,2571,1026,892,328,1982,454,1354,1242,2376,628,816,687,682,2831,1666,1220,969,1563,1638
48 years,560,774,1280,1874,3717,1569,4985,2122,3540,692,1965,49078,1485,2586,1040,912,332,1932,417,1374,1242,2284,594,802,661,630,2828,1594,1198,928,1542,1610
49 years,630,728,1282,1894,3640,1598,4936,2106,3431,678,1978,49154,1522,2609,1076,879,328,1948,458,1389,1256,2300,607,789,638,654,2795,1670,1217,894,1608,1607
5 years,499,762,1080,1574,3168,1449,3716,1912,3092,566,1741,42684,1248,2197,891,832,298,1656,430,1195,1141,2080,588,732,608,546,2702,1380,1010,850,1348,1384
50 years,598,773,1319,1929,3575,1592,4982,2067,3269,650,1884,48166,1507,2518,1002,892,336,1911,414,1395,1262,2273,586,788,660,607,2596,1536,1169,886,1624,1556
51 years,543,744,1218,1840,3510,1534,4767,1988,3044,664,1896,46634,1463,2359,954,862,323,1868,438,1352,1258,2121,554,753,637,623,2556,1567,1184,880,1561,1561
52 years,548,740,1263,1821,3380,1568,4744,1955,2866,612,1819,45846,1537,2283,939,845,337,1863,416,1310,1280,2069,570,733,660,628,2465,1518,1138,872,1556,1502
53 years,523,696,1162,1683,3222,1522,4414,1884,2686,602,1728,43210,1444,2144,946,774,318,1660,400,1252,1232,1919,544,711,606,574,2308,1466,1130,848,1456,1346
54 years,536,702,1180,1737,3138,1539,4501,1858,2545,580,1738,42812,1403,2088,886,763,326,1706,401,1220,1192,1897,545,734,590,623,2222,1502,1074,815,1443,1317
55 years,536,702,1172,1699,3122,1472,4138,1922,2440,586,1693,41944,1368,2028,918,768,316,1672,393,1124,1227,1793,517,675,643,608,2169,1498,1124,799,1485,1329
56 years,530,692,1159,1746,3139,1465,4250,1794,2333,588,1632,41308,1425,1991,902,728,304,1630,359,1168,1238,1746,513,710,608,592,2020,1455,1099,753,1396,1334
57 years,493,660,1098,1765,3095,1484,4292,1863,2296,575,1670,41770,1408,1956,916,702,317,1698,380,1117,1262,1810,532,706,591,578,2164,1488,1109,820,1505,1407
58 years,482,642,1126,1790,2937,1422,4206,1837,2203,511,1596,40290,1368,1837,845,713,314,1618,339,1090,1232,1626,515,696,640,629,2059,1463,1085,768,1425,1265
59 years,495,663,1080,1759,2850,1320,4163,1856,2174,516,1538,39464,1369,1720,873,644,284,1599,356,1054,1190,1564,516,637,598,603,2038,1465,1103,778,1368,1281
6 years,500,784,1104,1664,3381,1482,3875,1919,3242,570,1813,44476,1232,2337,954,885,312,1747,416,1281,1176,2144,663,719,615,549,2798,1468,1084,901,1443,1410
60 years,448,630,1026,1736,2724,1370,4017,1772,2062,506,1514,38345,1370,1674,824,643,267,1593,352,999,1181,1488,501,654,595,574,1988,1368,1052,724,1366,1316
